year,buffett_return_pct,buffett_cumulative,buffett_source,sp500_price_return_pct,sp500_price_cumulative,sp500_close,dow_price_return_pct,dow_price_cumulative,dow_close,sp500_total_return_from_berkshire_pct,sp500_total_cumulative_from_1965
2007,28.7,80943.13324127,Berkshire per-share market value,3.5296,31.46261073,1468.359985,6.4323,26.55779126,13264.82,5.5,68.82608007
2008,-31.8,55203.21687054,Berkshire per-share market value,-38.4858,19.35397548,903.25,-33.8371,17.57140569,8776.39,-37.0,43.36043044
2009,2.7,56693.70372605,Berkshire per-share market value,23.4542,23.89329375,1115.099976,18.8194,20.87823092,10428.05,26.5,54.85094451
2010,21.4,68826.15632342,Berkshire per-share market value,12.7827,26.94750512,1257.640015,11.0228,23.17959037,11577.51,15.1,63.13343713
2011,-4.7,65591.32697622,Berkshire per-share market value,-0.0032,26.9466472,1257.599976,5.5284,24.46104871,12217.56,2.1,64.45923931
2012,16.8,76610.66990823,Berkshire per-share market value,13.4057,30.55903144,1426.189941,7.2566,26.23609026,13104.14,16.0,74.7727176
2013,32.7,101662.35896822,Berkshire per-share market value,29.6012,39.60488661,1848.359985,26.4994,33.18849981,16576.66,32.4,98.99907811
2014,27.0,129111.19588964,Berkshire per-share market value,11.3906,44.1161342,2058.899902,7.5191,35.683965,17823.07,13.7,112.56195181
2015,-12.5,112972.29640343,Berkshire per-share market value,-0.7266,43.79558649,2043.939941,-2.2333,34.88704026,17425.03,1.4,114.13781913
2016,23.4,139407.81376184,Berkshire per-share market value,9.535,47.97150559,2238.830078,13.415,39.56714117,19762.6,12.0,127.83435743
2017,21.9,169938.12497568,Berkshire per-share market value,19.42,57.28755544,2673.610107,25.0808,49.49090035,24719.22,21.8,155.70224735
2018,2.8,174696.392475,Berkshire per-share market value,-6.2373,53.71438174,2506.850098,-5.6303,46.70442669,23327.46,-4.4,148.85134847
2019,11.0,193912.99564725,Berkshire per-share market value,28.8781,69.22605863,3230.780029,22.3384,57.1374446,28538.439453,31.5,195.73952323
2020,2.4,198566.90754278,Berkshire per-share market value,16.2589,80.48147023,3756.070068,7.2465,61.27791553,30606.480469,18.4,231.75559551
2021,29.6,257342.71217544,Berkshire per-share market value,26.8927,102.12514169,4766.180176,18.7275,72.75372051,36338.300781,28.7,298.26945142
2022,4.0,267636.42066246,Berkshire per-share market value,-19.4428,82.26912686,3839.5,-8.7815,66.36484674,33147.25,-18.1,244.28268071
2023,15.8,309922.97512713,Berkshire per-share market value,24.2305,102.2033483,4769.830078,13.7034,75.45906473,37689.539062,26.3,308.52902574
2024,25.5,388953.33378455,Berkshire per-share market value,23.309,126.02592915,5881.629883,12.8807,85.17872695,42544.21875,25.0,385.66128218
